[2025-12-15T21:50:14.529+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-15T21:50:14.612+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T21:45:00+00:00 [queued]>
[2025-12-15T21:50:14.625+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T21:45:00+00:00 [queued]>
[2025-12-15T21:50:14.626+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2025-12-15T21:50:14.648+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_into_snowflake> on 2025-12-15 21:45:00+00:00
[2025-12-15T21:50:14.666+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=80137) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-15T21:50:14.668+0000] {standard_task_runner.py:64} INFO - Started process 80147 to run task
[2025-12-15T21:50:14.666+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_into_snowflake', 'scheduled__2025-12-15T21:45:00+00:00', '--job-id', '257', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpr30upewq']
[2025-12-15T21:50:14.670+0000] {standard_task_runner.py:91} INFO - Job 257: Subtask load_into_snowflake
[2025-12-15T21:50:14.791+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T21:45:00+00:00 [running]> on host 4abec113d47e
[2025-12-15T21:50:14.947+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_into_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-15T21:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-15T21:45:00+00:00'
[2025-12-15T21:50:14.949+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-15T21:50:14.984+0000] {logging_mixin.py:188} INFO - Received 265 files from previous task.
[2025-12-15T21:50:14.986+0000] {logging_mixin.py:188} INFO - Cnnecting to Snowflake...
[2025-12-15T21:50:14.988+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-12-15T21:50:14.989+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-12-15T21:50:16.631+0000] {logging_mixin.py:188} INFO - Connected to Snowflake.
