[2025-12-15T17:15:11.623+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-15T17:15:11.668+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T17:10:00+00:00 [queued]>
[2025-12-15T17:15:11.680+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T17:10:00+00:00 [queued]>
[2025-12-15T17:15:11.682+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 3
[2025-12-15T17:15:11.701+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_into_snowflake> on 2025-12-15 17:10:00+00:00
[2025-12-15T17:15:11.719+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=32153) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-12-15T17:15:11.721+0000] {standard_task_runner.py:64} INFO - Started process 32157 to run task
[2025-12-15T17:15:11.719+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_into_snowflake', 'scheduled__2025-12-15T17:10:00+00:00', '--job-id', '157', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp_6muogxg']
[2025-12-15T17:15:11.722+0000] {standard_task_runner.py:91} INFO - Job 157: Subtask load_into_snowflake
[2025-12-15T17:15:11.825+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_into_snowflake scheduled__2025-12-15T17:10:00+00:00 [running]> on host 4abec113d47e
[2025-12-15T17:15:11.975+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_into_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-12-15T17:10:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-15T17:10:00+00:00'
[2025-12-15T17:15:11.978+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-12-15T17:15:12.027+0000] {logging_mixin.py:188} INFO - Received 265 files from previous task.
[2025-12-15T17:15:12.028+0000] {logging_mixin.py:188} INFO - Cnnecting to Snowflake...
